in s,C1 in V
8.88332204E-02,-2.29492E+00
8.88334036E-02,-2.49023E+00
8.88335868E-02,-2.78320E+00
8.88337700E-02,-2.49023E+00
8.88339532E-02,-2.97852E+00
8.88341364E-02,-2.39258E+00
8.88343196E-02,-2.68555E+00
8.88345028E-02,-2.88086E+00
8.88346860E-02,-2.68555E+00
8.88348692E-02,-2.58789E+00
8.88350524E-02,-2.68555E+00
8.88352356E-02,-3.07617E+00
8.88354188E-02,-2.88086E+00
8.88356020E-02,-2.78320E+00
8.88357852E-02,-2.68555E+00
8.88359684E-02,-2.49023E+00
8.88361516E-02,-2.49023E+00
8.88363348E-02,-2.88086E+00
8.88365180E-02,-2.00195E+00
8.88367012E-02,-2.58789E+00
8.88368844E-02,-2.58789E+00
8.88370676E-02,-2.39258E+00
8.88372508E-02,-3.07617E+00
8.88374340E-02,-2.58789E+00
8.88376172E-02,-2.58789E+00
8.88378004E-02,-2.68555E+00
8.88379836E-02,-2.39258E+00
8.88381668E-02,-2.49023E+00
8.88383500E-02,-2.78320E+00
8.88385332E-02,-2.39258E+00
8.88387164E-02,-2.78320E+00
8.88388996E-02,-2.68555E+00
8.88390828E-02,-2.68555E+00
8.88392660E-02,-3.17383E+00
8.88394492E-02,-2.68555E+00
8.88396324E-02,-3.07617E+00
8.88398156E-02,-2.39258E+00
8.88399988E-02,-2.49023E+00
8.88401820E-02,-3.07617E+00
8.88403652E-02,-2.49023E+00
8.88405484E-02,-2.39258E+00
8.88407316E-02,-2.19727E+00
8.88409148E-02,-2.78320E+00
8.88410980E-02,-3.17383E+00
8.88412812E-02,-2.58789E+00
8.88414644E-02,-2.68555E+00
8.88416476E-02,-2.68555E+00
8.88418308E-02,-2.39258E+00
8.88420140E-02,-2.78320E+00
8.88421972E-02,-2.68555E+00
8.88423804E-02,-3.07617E+00
8.88425636E-02,-2.58789E+00
8.88427468E-02,-2.78320E+00
8.88429300E-02,-2.39258E+00
8.88431132E-02,-2.58789E+00
8.88432964E-02,-2.49023E+00
8.88434796E-02,-2.78320E+00
8.88436628E-02,-2.78320E+00
8.88438460E-02,-2.29492E+00
8.88440292E-02,-2.97852E+00
8.88442124E-02,-2.88086E+00
8.88443956E-02,-2.78320E+00
8.88445788E-02,-2.58789E+00
8.88447620E-02,-2.97852E+00
8.88449452E-02,-2.78320E+00
8.88451284E-02,-2.39258E+00
8.88453116E-02,-2.78320E+00
8.88454948E-02,-2.68555E+00
8.88456780E-02,-2.88086E+00
8.88458612E-02,-2.88086E+00
8.88460444E-02,-2.97852E+00
8.88462276E-02,-2.78320E+00
8.88464108E-02,-2.68555E+00
8.88465940E-02,-2.97852E+00
8.88467772E-02,-2.68555E+00
8.88469604E-02,-2.68555E+00
8.88471436E-02,-2.78320E+00
8.88473268E-02,-2.49023E+00
8.88475100E-02,-2.97852E+00
8.88476932E-02,-2.97852E+00
8.88478764E-02,-2.78320E+00
8.88480596E-02,-2.88086E+00
8.88482428E-02,-2.58789E+00
8.88484260E-02,-2.09961E+00
8.88486092E-02,-3.07617E+00
8.88487924E-02,-2.39258E+00
8.88489756E-02,-2.29492E+00
8.88491588E-02,-2.39258E+00
8.88493420E-02,-3.07617E+00
8.88495252E-02,-2.68555E+00
8.88497084E-02,-2.68555E+00
8.88498916E-02,-2.78320E+00
8.88500748E-02,-2.58789E+00
8.88502580E-02,-3.36914E+00
8.88504412E-02,-2.68555E+00
8.88506244E-02,-2.78320E+00
8.88508076E-02,-3.17383E+00
8.88509908E-02,-2.88086E+00
8.88511740E-02,-2.88086E+00
8.88513572E-02,-2.78320E+00
8.88515404E-02,-2.58789E+00
8.88517236E-02,-2.39258E+00
8.88519068E-02,-2.78320E+00
8.88520900E-02,-2.58789E+00
8.88522732E-02,-3.46680E+00
8.88524564E-02,-3.17383E+00
8.88526396E-02,-2.19727E+00
8.88528228E-02,-3.27148E+00
8.88530060E-02,-2.88086E+00
8.88531892E-02,-2.88086E+00
8.88533724E-02,-2.78320E+00
8.88535556E-02,-2.78320E+00
8.88537388E-02,-2.97852E+00
8.88539220E-02,-2.49023E+00
8.88541052E-02,-2.68555E+00
8.88542884E-02,-2.78320E+00
8.88544716E-02,-2.58789E+00
8.88546548E-02,-2.88086E+00
8.88548380E-02,-3.17383E+00
8.88550212E-02,-2.78320E+00
8.88552044E-02,-2.49023E+00
8.88553876E-02,-2.58789E+00
8.88555708E-02,-3.07617E+00
8.88557540E-02,-2.58789E+00
8.88559372E-02,-2.39258E+00
8.88561204E-02,-2.88086E+00
8.88563036E-02,-2.39258E+00
8.88564868E-02,-2.58789E+00
8.88566700E-02,-2.58789E+00
8.88568532E-02,-2.88086E+00
8.88570364E-02,-2.68555E+00
8.88572196E-02,-2.78320E+00
8.88574028E-02,-3.27148E+00
8.88575860E-02,-2.88086E+00
8.88577692E-02,-2.78320E+00
8.88579524E-02,-2.97852E+00
8.88581356E-02,-3.36914E+00
8.88583188E-02,-2.68555E+00
8.88585020E-02,-2.78320E+00
8.88586852E-02,-2.68555E+00
8.88588684E-02,-2.97852E+00
8.88590516E-02,-2.49023E+00
8.88592348E-02,-2.49023E+00
8.88594180E-02,-3.17383E+00
8.88596012E-02,-2.97852E+00
8.88597844E-02,-2.39258E+00
8.88599676E-02,-2.97852E+00
8.88601508E-02,-2.97852E+00
8.88603340E-02,-2.68555E+00
8.88605172E-02,-2.97852E+00
8.88607004E-02,-2.88086E+00
8.88608836E-02,-2.88086E+00
8.88610668E-02,-2.49023E+00
8.88612500E-02,-2.97852E+00
8.88614332E-02,-2.78320E+00
8.88616164E-02,-2.78320E+00
8.88617996E-02,-2.97852E+00
8.88619828E-02,-2.78320E+00
8.88621660E-02,-2.78320E+00
8.88623492E-02,-2.97852E+00
8.88625324E-02,-2.49023E+00
8.88627156E-02,-2.58789E+00
8.88628988E-02,-2.88086E+00
8.88630820E-02,-3.17383E+00
8.88632652E-02,-2.68555E+00
8.88634484E-02,-2.88086E+00
8.88636316E-02,-3.07617E+00
8.88638148E-02,-2.88086E+00
8.88639980E-02,-3.07617E+00
8.88641812E-02,-3.36914E+00
8.88643644E-02,-2.97852E+00
8.88645476E-02,-2.49023E+00
8.88647308E-02,-2.78320E+00
8.88649140E-02,-2.58789E+00
8.88650972E-02,-2.88086E+00
8.88652804E-02,-2.97852E+00
8.88654636E-02,-2.88086E+00
8.88656468E-02,-2.88086E+00
8.88658300E-02,-2.97852E+00
8.88660132E-02,-2.78320E+00
8.88661964E-02,-2.58789E+00
8.88663796E-02,-2.58789E+00
8.88665628E-02,-2.78320E+00
8.88667460E-02,-2.78320E+00
8.88669292E-02,-3.07617E+00
8.88671124E-02,-2.68555E+00
8.88672956E-02,-3.07617E+00
8.88674788E-02,-2.97852E+00
8.88676620E-02,-2.58789E+00
8.88678452E-02,-2.97852E+00
8.88680284E-02,-2.49023E+00
8.88682116E-02,-3.07617E+00
8.88683948E-02,-2.97852E+00
8.88685780E-02,-2.97852E+00
8.88687612E-02,-2.68555E+00
8.88689444E-02,-3.07617E+00
8.88691276E-02,-2.78320E+00
8.88693108E-02,-3.07617E+00
8.88694940E-02,-2.68555E+00
8.88696772E-02,-3.07617E+00
8.88698604E-02,-2.97852E+00
8.88700436E-02,-2.58789E+00
8.88702268E-02,-2.97852E+00
8.88704100E-02,-2.58789E+00
8.88705932E-02,-2.97852E+00
8.88707764E-02,-2.88086E+00
8.88709596E-02,-2.97852E+00
8.88711428E-02,-2.97852E+00
8.88713260E-02,-2.88086E+00
8.88715092E-02,-2.78320E+00
8.88716924E-02,-3.07617E+00
8.88718756E-02,-3.17383E+00
8.88720588E-02,-2.97852E+00
8.88722420E-02,-2.88086E+00
8.88724252E-02,-3.17383E+00
8.88726084E-02,-2.49023E+00
8.88727916E-02,-2.78320E+00
8.88729748E-02,-2.68555E+00
8.88731580E-02,-3.07617E+00
8.88733412E-02,-3.17383E+00
8.88735244E-02,-2.97852E+00
8.88737076E-02,-2.78320E+00
8.88738908E-02,-2.97852E+00
8.88740740E-02,-2.97852E+00
8.88742572E-02,-2.88086E+00
8.88744404E-02,-3.07617E+00
8.88746236E-02,-2.78320E+00
8.88748068E-02,-2.78320E+00
8.88749900E-02,-2.97852E+00
8.88751732E-02,-2.88086E+00
8.88753564E-02,-2.97852E+00
8.88755396E-02,-2.88086E+00
8.88757228E-02,-3.07617E+00
8.88759060E-02,-2.97852E+00
8.88760892E-02,-2.78320E+00
8.88762724E-02,-2.78320E+00
8.88764556E-02,-3.36914E+00
8.88766388E-02,-2.88086E+00
8.88768220E-02,-2.78320E+00
8.88770052E-02,-3.17383E+00
8.88771884E-02,-2.78320E+00
8.88773716E-02,-2.68555E+00
8.88775548E-02,-3.07617E+00
8.88777380E-02,-2.88086E+00
8.88779212E-02,-3.36914E+00
8.88781044E-02,-2.97852E+00
8.88782876E-02,-2.97852E+00
8.88784708E-02,-3.07617E+00
8.88786540E-02,-2.78320E+00
8.88788372E-02,-2.68555E+00
8.88790204E-02,-3.07617E+00
8.88792036E-02,-2.68555E+00
8.88793868E-02,-3.17383E+00
8.88795700E-02,-2.78320E+00
8.88797532E-02,-2.78320E+00
8.88799364E-02,-2.68555E+00
8.88801196E-02,-2.97852E+00
8.88803028E-02,-2.78320E+00
8.88804860E-02,-2.97852E+00
8.88806692E-02,-2.78320E+00
8.88808524E-02,-2.78320E+00
8.88810356E-02,-2.68555E+00
8.88812188E-02,-2.58789E+00
8.88814020E-02,-3.46680E+00
8.88815852E-02,-2.78320E+00
8.88817684E-02,-3.36914E+00
8.88819516E-02,-3.07617E+00
8.88821348E-02,-2.88086E+00
8.88823180E-02,-2.97852E+00
8.88825012E-02,-2.88086E+00
8.88826844E-02,-3.07617E+00
8.88828676E-02,-2.97852E+00
8.88830508E-02,-2.97852E+00
8.88832340E-02,-3.07617E+00
8.88834172E-02,-3.36914E+00
8.88836004E-02,-2.88086E+00
8.88837836E-02,-2.88086E+00
8.88839668E-02,-3.27148E+00
8.88841500E-02,-3.17383E+00
8.88843332E-02,-2.88086E+00
8.88845164E-02,-3.07617E+00
8.88846996E-02,-3.07617E+00
8.88848828E-02,-2.68555E+00
8.88850660E-02,-2.49023E+00
8.88852492E-02,-3.17383E+00
8.88854324E-02,-2.97852E+00
8.88856156E-02,-2.88086E+00
8.88857988E-02,-2.58789E+00
8.88859820E-02,-3.07617E+00
8.88861652E-02,-3.17383E+00
8.88863484E-02,-2.88086E+00
8.88865316E-02,-2.88086E+00
8.88867148E-02,-2.97852E+00
8.88868980E-02,-2.39258E+00
8.88870812E-02,-2.97852E+00
8.88872644E-02,-2.97852E+00
8.88874476E-02,-2.97852E+00
8.88876308E-02,-2.97852E+00
8.88878140E-02,-3.17383E+00
8.88879972E-02,-3.07617E+00
8.88881804E-02,-2.78320E+00
8.88883636E-02,-2.97852E+00
8.88885468E-02,-2.78320E+00
8.88887300E-02,-3.17383E+00
8.88889132E-02,-2.78320E+00
8.88890964E-02,-3.07617E+00
8.88892796E-02,-2.97852E+00
8.88894628E-02,-2.58789E+00
8.88896460E-02,-2.97852E+00
8.88898292E-02,-3.07617E+00
8.88900124E-02,-3.17383E+00
8.88901956E-02,-3.17383E+00
8.88903788E-02,-2.78320E+00
8.88905620E-02,-2.97852E+00
8.88907452E-02,-2.88086E+00
8.88909284E-02,-2.68555E+00
8.88911116E-02,-2.78320E+00
8.88912948E-02,-2.68555E+00
8.88914780E-02,-2.88086E+00
8.88916612E-02,-2.68555E+00
8.88918444E-02,-3.17383E+00
8.88920276E-02,-3.17383E+00
8.88922108E-02,-3.27148E+00
8.88923940E-02,-2.88086E+00
8.88925772E-02,-2.88086E+00
8.88927604E-02,-2.97852E+00
8.88929436E-02,-3.17383E+00
8.88931268E-02,-3.36914E+00
8.88933100E-02,-3.07617E+00
8.88934932E-02,-2.88086E+00
8.88936764E-02,-2.68555E+00
8.88938596E-02,-2.88086E+00
8.88940428E-02,-3.27148E+00
8.88942260E-02,-2.78320E+00
8.88944092E-02,-2.88086E+00
8.88945924E-02,-2.88086E+00
8.88947756E-02,-3.27148E+00
8.88949588E-02,-2.78320E+00
8.88951420E-02,-2.68555E+00
8.88953252E-02,-3.17383E+00
8.88955084E-02,-2.78320E+00
8.88956916E-02,-3.07617E+00
8.88958748E-02,-3.36914E+00
8.88960580E-02,-2.88086E+00
8.88962412E-02,-2.88086E+00
8.88964244E-02,-3.07617E+00
8.88966076E-02,-2.88086E+00
8.88967908E-02,-3.07617E+00
8.88969740E-02,-2.88086E+00
8.88971572E-02,-2.88086E+00
8.88973404E-02,-2.97852E+00
8.88975236E-02,-3.17383E+00
8.88977068E-02,-3.27148E+00
8.88978900E-02,-2.78320E+00
8.88980732E-02,-3.27148E+00
8.88982564E-02,-3.07617E+00
8.88984396E-02,-3.17383E+00
8.88986228E-02,-2.97852E+00
8.88988060E-02,-2.88086E+00
8.88989892E-02,-3.07617E+00
8.88991724E-02,-2.88086E+00
8.88993556E-02,-2.97852E+00
8.88995388E-02,-3.36914E+00
