in s,C1 in V
1.001938220E-01,4.88281E-03
1.001938312E-01,6.83594E-03
1.001938404E-01,2.92969E-03
1.001938496E-01,-9.76563E-04
1.001938588E-01,1.26953E-02
1.001938680E-01,4.88281E-03
1.001938772E-01,9.76562E-04
1.001938864E-01,1.26953E-02
1.001938956E-01,6.83594E-03
1.001939048E-01,2.92969E-03
1.001939140E-01,6.83594E-03
1.001939232E-01,6.83594E-03
1.001939324E-01,6.83594E-03
1.001939416E-01,6.83594E-03
1.001939508E-01,4.88281E-03
1.001939600E-01,2.92969E-03
1.001939692E-01,1.85547E-02
1.001939784E-01,9.76562E-04
1.001939876E-01,9.76562E-04
1.001939968E-01,1.07422E-02
1.001940060E-01,8.78906E-03
1.001940152E-01,1.07422E-02
1.001940244E-01,6.83594E-03
1.001940336E-01,2.92969E-03
1.001940428E-01,1.07422E-02
1.001940520E-01,1.07422E-02
1.001940612E-01,2.92969E-03
1.001940704E-01,8.78906E-03
1.001940796E-01,-9.76563E-04
1.001940888E-01,6.83594E-03
1.001940980E-01,9.76562E-04
1.001941072E-01,4.88281E-03
1.001941164E-01,1.07422E-02
1.001941256E-01,1.07422E-02
1.001941348E-01,4.88281E-03
1.001941440E-01,9.76562E-04
1.001941532E-01,9.76562E-04
1.001941624E-01,6.83594E-03
1.001941716E-01,-2.92969E-03
1.001941808E-01,8.78906E-03
1.001941900E-01,6.83594E-03
1.001941992E-01,1.66016E-02
1.001942084E-01,4.88281E-03
1.001942176E-01,4.88281E-03
1.001942268E-01,4.88281E-03
1.001942360E-01,-9.76563E-04
1.001942452E-01,2.92969E-03
1.001942544E-01,9.76562E-04
1.001942636E-01,1.07422E-02
1.001942728E-01,4.88281E-03
1.001942820E-01,9.76562E-04
1.001942912E-01,-9.76563E-04
1.001943004E-01,1.07422E-02
1.001943096E-01,8.78906E-03
1.001943188E-01,2.92969E-03
1.001943280E-01,-9.76563E-04
1.001943372E-01,1.46484E-02
1.001943464E-01,6.83594E-03
1.001943556E-01,9.76562E-04
1.001943648E-01,9.76562E-04
1.001943740E-01,6.83594E-03
1.001943832E-01,4.88281E-03
1.001943924E-01,2.92969E-03
1.001944016E-01,6.83594E-03
1.001944108E-01,4.88281E-03
1.001944200E-01,-2.92969E-03
1.001944292E-01,2.92969E-03
1.001944384E-01,2.92969E-03
1.001944476E-01,-9.76563E-04
1.001944568E-01,2.92969E-03
1.001944660E-01,-9.76563E-04
1.001944752E-01,6.83594E-03
1.001944844E-01,9.76562E-04
1.001944936E-01,2.92969E-03
1.001945028E-01,6.83594E-03
1.001945120E-01,4.88281E-03
1.001945212E-01,1.07422E-02
1.001945304E-01,8.78906E-03
1.001945396E-01,-2.92969E-03
1.001945488E-01,6.83594E-03
1.001945580E-01,6.83594E-03
1.001945672E-01,6.83594E-03
1.001945764E-01,2.92969E-03
1.001945856E-01,2.92969E-03
1.001945948E-01,-2.92969E-03
1.001946040E-01,2.92969E-03
1.001946132E-01,8.78906E-03
1.001946224E-01,9.76562E-04
1.001946316E-01,2.92969E-03
1.001946408E-01,-4.88281E-03
1.001946500E-01,2.92969E-03
1.001946592E-01,2.92969E-03
1.001946684E-01,4.88281E-03
1.001946776E-01,4.88281E-03
1.001946868E-01,-2.92969E-03
1.001946960E-01,6.83594E-03
1.001947052E-01,-9.76563E-04
1.001947144E-01,4.88281E-03
1.001947236E-01,8.78906E-03
1.001947328E-01,-9.76563E-04
1.001947420E-01,6.83594E-03
1.001947512E-01,4.88281E-03
1.001947604E-01,2.92969E-03
1.001947696E-01,9.76562E-04
1.001947788E-01,6.83594E-03
1.001947880E-01,8.78906E-03
1.001947972E-01,-9.76563E-04
1.001948064E-01,6.83594E-03
1.001948156E-01,6.83594E-03
1.001948248E-01,9.76562E-04
1.001948340E-01,6.83594E-03
1.001948432E-01,-9.76563E-04
1.001948524E-01,4.88281E-03
1.001948616E-01,-9.76563E-04
1.001948708E-01,9.76562E-04
1.001948800E-01,9.76562E-04
1.001948892E-01,-9.76563E-04
1.001948984E-01,4.88281E-03
1.001949076E-01,2.92969E-03
1.001949168E-01,-2.92969E-03
1.001949260E-01,-9.76563E-04
1.001949352E-01,2.92969E-03
1.001949444E-01,-4.88281E-03
1.001949536E-01,9.76562E-04
1.001949628E-01,9.76562E-04
