in s,C1 in V
9.965901820E-02,2.08008E-01
9.965905680E-02,2.56836E-01
9.965909540E-02,1.59180E-01
9.965913400E-02,2.56836E-01
9.965917260E-02,2.08008E-01
9.965921120E-02,1.10352E-01
9.965924980E-02,2.56836E-01
9.965928840E-02,3.54492E-01
9.965932700E-02,6.15234E-02
9.965936560E-02,2.08008E-01
9.965940420E-02,3.05664E-01
9.965944280E-02,1.59180E-01
9.965948140E-02,3.05664E-01
9.965952000E-02,4.03320E-01
9.965955860E-02,2.56836E-01
9.965959720E-02,1.10352E-01
9.965963580E-02,2.56836E-01
9.965967440E-02,3.54492E-01
9.965971300E-02,3.05664E-01
9.965975160E-02,2.56836E-01
9.965979020E-02,2.08008E-01
9.965982880E-02,2.08008E-01
9.965986740E-02,3.05664E-01
9.965990600E-02,3.54492E-01
9.965994460E-02,2.08008E-01
9.965998320E-02,1.59180E-01
9.966002180E-02,2.56836E-01
9.966006040E-02,2.56836E-01
9.966009900E-02,4.03320E-01
9.966013760E-02,6.15234E-02
9.966017620E-02,3.05664E-01
9.966021480E-02,2.56836E-01
9.966025340E-02,2.56836E-01
9.966029200E-02,2.56836E-01
9.966033060E-02,3.54492E-01
9.966036920E-02,1.10352E-01
9.966040780E-02,2.08008E-01
9.966044640E-02,3.05664E-01
9.966048500E-02,4.03320E-01
9.966052360E-02,2.08008E-01
9.966056220E-02,3.05664E-01
9.966060080E-02,3.54492E-01
9.966063940E-02,2.56836E-01
9.966067800E-02,1.59180E-01
9.966071660E-02,2.08008E-01
9.966075520E-02,2.08008E-01
9.966079380E-02,1.59180E-01
9.966083240E-02,2.56836E-01
9.966087100E-02,1.10352E-01
9.966090960E-02,4.52148E-01
9.966094820E-02,3.05664E-01
9.966098680E-02,1.59180E-01
9.966102540E-02,2.08008E-01
9.966106400E-02,3.54492E-01
9.966110260E-02,3.05664E-01
9.966114120E-02,2.56836E-01
9.966117980E-02,2.56836E-01
9.966121840E-02,2.08008E-01
9.966125700E-02,2.56836E-01
9.966129560E-02,3.54492E-01
9.966133420E-02,2.56836E-01
9.966137280E-02,4.03320E-01
9.966141140E-02,2.56836E-01
9.966145000E-02,2.56836E-01
9.966148860E-02,3.05664E-01
9.966152720E-02,3.05664E-01
9.966156580E-02,3.05664E-01
9.966160440E-02,3.05664E-01
9.966164300E-02,3.05664E-01
9.966168160E-02,2.08008E-01
9.966172020E-02,2.08008E-01
9.966175880E-02,2.08008E-01
9.966179740E-02,1.59180E-01
9.966183600E-02,1.59180E-01
9.966187460E-02,3.05664E-01
9.966191320E-02,1.10352E-01
9.966195180E-02,2.56836E-01
9.966199040E-02,2.08008E-01
9.966202900E-02,2.56836E-01
9.966206760E-02,1.59180E-01
9.966210620E-02,2.08008E-01
9.966214480E-02,4.52148E-01
9.966218340E-02,3.05664E-01
9.966222200E-02,1.10352E-01
9.966226060E-02,3.54492E-01
9.966229920E-02,3.05664E-01
9.966233780E-02,2.08008E-01
9.966237640E-02,1.10352E-01
9.966241500E-02,4.03320E-01
9.966245360E-02,1.26953E-02
9.966249220E-02,3.05664E-01
9.966253080E-02,1.59180E-01
9.966256940E-02,2.56836E-01
9.966260800E-02,1.59180E-01
9.966264660E-02,3.05664E-01
9.966268520E-02,2.08008E-01
9.966272380E-02,3.54492E-01
9.966276240E-02,1.10352E-01
9.966280100E-02,3.05664E-01
9.966283960E-02,3.54492E-01
9.966287820E-02,1.10352E-01
9.966291680E-02,2.08008E-01
9.966295540E-02,2.56836E-01
9.966299400E-02,2.56836E-01
9.966303260E-02,3.54492E-01
9.966307120E-02,3.05664E-01
9.966310980E-02,2.56836E-01
9.966314840E-02,3.05664E-01
9.966318700E-02,2.08008E-01
9.966322560E-02,2.08008E-01
9.966326420E-02,2.08008E-01
9.966330280E-02,1.10352E-01
9.966334140E-02,2.56836E-01
9.966338000E-02,3.05664E-01
9.966341860E-02,3.05664E-01
9.966345720E-02,2.56836E-01
9.966349580E-02,2.08008E-01
9.966353440E-02,1.59180E-01
9.966357300E-02,1.10352E-01
9.966361160E-02,6.15234E-02
9.966365020E-02,1.10352E-01
9.966368880E-02,3.54492E-01
9.966372740E-02,2.56836E-01
9.966376600E-02,2.56836E-01
9.966380460E-02,2.56836E-01
9.966384320E-02,2.08008E-01
9.966388180E-02,6.15234E-02
9.966392040E-02,2.56836E-01
9.966395900E-02,4.03320E-01
9.966399760E-02,3.54492E-01
9.966403620E-02,2.08008E-01
9.966407480E-02,3.05664E-01
9.966411340E-02,2.08008E-01
9.966415200E-02,2.08008E-01
9.966419060E-02,2.08008E-01
9.966422920E-02,1.59180E-01
9.966426780E-02,3.05664E-01
9.966430640E-02,4.03320E-01
9.966434500E-02,2.56836E-01
9.966438360E-02,6.15234E-02
9.966442220E-02,1.59180E-01
9.966446080E-02,2.08008E-01
9.966449940E-02,3.05664E-01
9.966453800E-02,2.08008E-01
9.966457660E-02,2.08008E-01
9.966461520E-02,2.08008E-01
9.966465380E-02,2.08008E-01
9.966469240E-02,2.56836E-01
9.966473100E-02,3.54492E-01
9.966476960E-02,1.10352E-01
9.966480820E-02,4.03320E-01
9.966484680E-02,2.56836E-01
9.966488540E-02,3.05664E-01
9.966492400E-02,2.56836E-01
9.966496260E-02,3.05664E-01
9.966500120E-02,6.15234E-02
9.966503980E-02,3.05664E-01
9.966507840E-02,3.54492E-01
9.966511700E-02,1.59180E-01
9.966515560E-02,2.08008E-01
9.966519420E-02,2.08008E-01
9.966523280E-02,1.10352E-01
9.966527140E-02,-3.61328E-02
9.966531000E-02,3.05664E-01
9.966534860E-02,3.05664E-01
9.966538720E-02,1.59180E-01
9.966542580E-02,1.59180E-01
9.966546440E-02,3.05664E-01
9.966550300E-02,3.05664E-01
9.966554160E-02,2.56836E-01
9.966558020E-02,4.03320E-01
9.966561880E-02,3.05664E-01
9.966565740E-02,3.54492E-01
9.966569600E-02,4.03320E-01
9.966573460E-02,4.03320E-01
9.966577320E-02,2.56836E-01
9.966581180E-02,1.26953E-02
9.966585040E-02,4.52148E-01
9.966588900E-02,2.56836E-01
9.966592760E-02,6.15234E-02
9.966596620E-02,1.10352E-01
9.966600480E-02,2.56836E-01
9.966604340E-02,4.03320E-01
9.966608200E-02,3.54492E-01
9.966612060E-02,3.05664E-01
9.966615920E-02,3.54492E-01
9.966619780E-02,2.56836E-01
9.966623640E-02,3.05664E-01
9.966627500E-02,6.15234E-02
9.966631360E-02,3.05664E-01
9.966635220E-02,2.08008E-01
9.966639080E-02,2.56836E-01
9.966642940E-02,1.10352E-01
9.966646800E-02,2.08008E-01
9.966650660E-02,2.08008E-01
9.966654520E-02,4.03320E-01
9.966658380E-02,2.08008E-01
9.966662240E-02,2.08008E-01
9.966666100E-02,3.05664E-01
9.966669960E-02,1.59180E-01
9.966673820E-02,2.08008E-01
9.966677680E-02,2.08008E-01
9.966681540E-02,3.54492E-01
9.966685400E-02,2.56836E-01
9.966689260E-02,3.05664E-01
9.966693120E-02,5.00977E-01
9.966696980E-02,4.03320E-01
9.966700840E-02,1.26953E-02
9.966704700E-02,1.59180E-01
9.966708560E-02,3.54492E-01
9.966712420E-02,2.08008E-01
9.966716280E-02,2.56836E-01
9.966720140E-02,4.03320E-01
9.966724000E-02,2.56836E-01
9.966727860E-02,3.05664E-01
9.966731720E-02,3.05664E-01
9.966735580E-02,1.59180E-01
9.966739440E-02,3.54492E-01
9.966743300E-02,2.56836E-01
9.966747160E-02,6.15234E-02
9.966751020E-02,2.08008E-01
9.966754880E-02,1.59180E-01
9.966758740E-02,3.54492E-01
9.966762600E-02,3.05664E-01
9.966766460E-02,2.08008E-01
9.966770320E-02,2.08008E-01
9.966774180E-02,3.05664E-01
9.966778040E-02,2.56836E-01
9.966781900E-02,4.03320E-01
9.966785760E-02,1.59180E-01
9.966789620E-02,2.08008E-01
9.966793480E-02,1.59180E-01
9.966797340E-02,2.56836E-01
9.966801200E-02,3.05664E-01
9.966805060E-02,2.08008E-01
9.966808920E-02,3.05664E-01
9.966812780E-02,2.56836E-01
9.966816640E-02,3.05664E-01
9.966820500E-02,2.56836E-01
9.966824360E-02,1.59180E-01
9.966828220E-02,1.59180E-01
9.966832080E-02,2.56836E-01
9.966835940E-02,2.08008E-01
9.966839800E-02,1.10352E-01
9.966843660E-02,1.59180E-01
9.966847520E-02,3.05664E-01
9.966851380E-02,1.59180E-01
9.966855240E-02,1.59180E-01
9.966859100E-02,2.56836E-01
9.966862960E-02,2.08008E-01
9.966866820E-02,2.08008E-01
9.966870680E-02,-3.61328E-02
9.966874540E-02,2.56836E-01
9.966878400E-02,2.08008E-01
9.966882260E-02,2.08008E-01
9.966886120E-02,3.54492E-01
9.966889980E-02,3.05664E-01
9.966893840E-02,6.15234E-02
9.966897700E-02,2.08008E-01
9.966901560E-02,4.52148E-01
9.966905420E-02,1.10352E-01
9.966909280E-02,2.56836E-01
9.966913140E-02,5.49805E-01
9.966917000E-02,1.59180E-01
9.966920860E-02,2.56836E-01
9.966924720E-02,1.10352E-01
9.966928580E-02,6.15234E-02
9.966932440E-02,2.56836E-01
9.966936300E-02,1.59180E-01
9.966940160E-02,2.56836E-01
9.966944020E-02,4.52148E-01
9.966947880E-02,1.59180E-01
9.966951740E-02,2.56836E-01
9.966955600E-02,4.03320E-01
9.966959460E-02,3.05664E-01
9.966963320E-02,1.59180E-01
9.966967180E-02,3.54492E-01
9.966971040E-02,3.54492E-01
9.966974900E-02,2.56836E-01
9.966978760E-02,2.08008E-01
9.966982620E-02,2.56836E-01
9.966986480E-02,3.05664E-01
9.966990340E-02,4.52148E-01
9.966994200E-02,3.54492E-01
9.966998060E-02,3.05664E-01
9.967001920E-02,4.03320E-01
9.967005780E-02,2.08008E-01
9.967009640E-02,1.59180E-01
9.967013500E-02,4.03320E-01
9.967017360E-02,2.56836E-01
9.967021220E-02,1.59180E-01
9.967025080E-02,2.56836E-01
9.967028940E-02,2.56836E-01
9.967032800E-02,3.54492E-01
9.967036660E-02,1.59180E-01
9.967040520E-02,2.56836E-01
9.967044380E-02,3.05664E-01
9.967048240E-02,4.03320E-01
9.967052100E-02,4.52148E-01
9.967055960E-02,2.08008E-01
9.967059820E-02,3.05664E-01
9.967063680E-02,2.08008E-01
9.967067540E-02,2.08008E-01
9.967071400E-02,3.54492E-01
9.967075260E-02,1.59180E-01
9.967079120E-02,1.59180E-01
9.967082980E-02,1.59180E-01
9.967086840E-02,1.59180E-01
9.967090700E-02,2.08008E-01
9.967094560E-02,2.56836E-01
9.967098420E-02,3.05664E-01
9.967102280E-02,3.05664E-01
9.967106140E-02,3.05664E-01
9.967110000E-02,3.05664E-01
9.967113860E-02,2.08008E-01
9.967117720E-02,2.56836E-01
9.967121580E-02,1.59180E-01
9.967125440E-02,1.59180E-01
9.967129300E-02,2.56836E-01
9.967133160E-02,3.54492E-01
9.967137020E-02,3.54492E-01
9.967140880E-02,2.08008E-01
9.967144740E-02,2.08008E-01
9.967148600E-02,1.10352E-01
9.967152460E-02,3.05664E-01
9.967156320E-02,3.54492E-01
9.967160180E-02,1.26953E-02
9.967164040E-02,2.08008E-01
9.967167900E-02,2.56836E-01
9.967171760E-02,3.54492E-01
9.967175620E-02,3.54492E-01
9.967179480E-02,4.03320E-01
9.967183340E-02,2.08008E-01
9.967187200E-02,2.08008E-01
9.967191060E-02,2.08008E-01
9.967194920E-02,2.56836E-01
9.967198780E-02,2.08008E-01
9.967202640E-02,1.59180E-01
9.967206500E-02,3.05664E-01
9.967210360E-02,3.54492E-01
9.967214220E-02,1.10352E-01
9.967218080E-02,2.08008E-01
9.967221940E-02,3.05664E-01
9.967225800E-02,2.56836E-01
9.967229660E-02,3.54492E-01
9.967233520E-02,2.08008E-01
9.967237380E-02,3.05664E-01
9.967241240E-02,4.03320E-01
9.967245100E-02,2.56836E-01
9.967248960E-02,3.05664E-01
